Employee_ID,Age,Gender,Country,Job_Role,Experience_Years,Company_Size,Work_Hours_Per_Day,Meetings_Per_Day,Internet_Speed_Mbps,Work_Environment,Sleep_Hours,Exercise_Hours_Per_Week,Screen_Time_Hours,Stress_Level,Productivity_Score,Burnout_Risk
144,35,Female,USA,Designer,4,Large,4.5,0,84.3,Hybrid,5.4,2.9,5.4,High,71,No
145,33,Other,Australia,Software Developer,9,Medium,8.9,7,187.0,Office,7.7,1.7,7.3,High,96,No
146,29,Male,China,Software Developer,2,Large,8.3,1,111.2,Home,8.8,0.7,13.1,High,87,No
147,38,Female,UK,Data Scientist,7,MNC,9.3,5,122.6,Hybrid,8.1,2.1,11.1,High,90,No
148,34,Other,China,Software Developer,12,Large,8.4,7,161.5,Coworking,7.3,5.1,12.8,High,90,No
149,34,Female,China,HR,10,Small,5.4,4,139.2,Office,7.1,4.5,6.4,High,83,No
150,52,Male,South Korea,Marketing,22,Large,4.0,7,73.7,Home,7.7,1.0,12.4,Medium,42,Yes
151,34,Female,India,Designer,12,MNC,5.6,1,64.5,Hybrid,7.1,5.9,10.7,High,77,No
152,45,Female,UK,HR,12,Small,8.7,5,63.8,Coworking,4.1,2.6,12.6,Medium,48,Yes
153,36,Female,South Korea,Manager,13,MNC,8.5,5,188.1,Coworking,7.4,0.4,7.7,Medium,95,No
154,33,Other,South Korea,Marketing,5,MNC,8.3,5,75.7,Coworking,7.1,0.3,12.8,Low,58,Yes
155,50,Other,UK,Data Analyst,11,MNC,8.5,2,122.9,Office,5.9,0.4,12.4,Medium,61,No
156,36,Other,Canada,Designer,2,Large,5.5,6,94.7,Office,5.4,6.0,8.8,Medium,61,No
157,36,Other,Germany,Data Analyst,6,Medium,9.0,2,51.9,Office,4.4,4.1,10.9,Low,66,No
158,24,Other,USA,HR,0,Small,9.8,7,92.1,Home,8.7,2.5,10.7,High,97,No
159,40,Other,Canada,Data Scientist,4,Medium,9.9,0,70.9,Coworking,7.6,4.5,6.8,High,100,No
160,46,Other,UK,Marketing,23,Small,6.2,6,99.6,Hybrid,6.7,1.0,6.8,High,59,Yes
161,29,Female,China,Manager,6,MNC,6.7,1,154.6,Office,7.1,0.8,5.3,Medium,83,No
162,24,Male,Canada,Marketing,1,MNC,6.8,5,32.3,Coworking,4.6,4.1,8.9,Medium,57,Yes
163,43,Other,Canada,Software Developer,21,MNC,6.0,1,161.5,Home,5.6,2.7,5.1,Low,86,No
164,51,Male,Germany,Data Analyst,17,Small,6.9,6,147.2,Hybrid,7.3,4.5,13.6,Low,80,No
165,29,Female,India,Software Engineer,2,Medium,6.9,7,37.7,Coworking,4.5,3.4,5.2,Low,56,Yes
166,43,Male,India,HR,19,MNC,6.1,7,11.9,Office,5.6,3.1,5.8,Medium,49,Yes
167,51,Other,India,HR,0,Small,8.9,1,85.4,Office,4.7,3.4,11.2,Low,79,No
168,36,Female,Japan,HR,1,Medium,4.2,3,29.9,Home,7.2,4.2,5.3,Medium,74,No
169,30,Female,Japan,Software Developer,6,Large,7.7,0,144.7,Coworking,8.4,4.3,12.2,Low,100,No
170,28,Female,Canada,Designer,2,Large,9.4,3,123.5,Coworking,7.9,2.9,5.4,High,100,No
171,35,Female,UK,Software Developer,10,Large,8.3,3,56.9,Coworking,4.8,5.2,7.0,Medium,78,No
172,29,Other,Germany,HR,4,Large,8.7,6,18.3,Office,4.8,0.1,10.9,Low,46,Yes
173,53,Female,South Korea,Data Scientist,23,Small,9.8,2,25.5,Hybrid,6.0,1.3,8.8,High,68,No
174,54,Female,China,Software Engineer,6,Small,6.8,5,192.5,Coworking,6.1,5.1,10.7,Medium,80,No
175,41,Other,Japan,HR,17,Small,9.2,7,121.7,Home,4.1,2.4,10.5,Low,51,Yes
176,27,Other,UK,Data Analyst,1,Large,10.0,1,183.3,Hybrid,5.1,3.7,10.7,Low,86,No
177,54,Other,Japan,Designer,25,MNC,8.3,7,124.4,Home,7.2,2.2,9.6,High,82,No
178,26,Male,Canada,Software Engineer,4,Large,6.6,5,175.4,Office,6.2,3.1,8.2,Medium,84,No
179,27,Female,Japan,Marketing,0,Medium,6.3,0,85.8,Hybrid,8.3,0.1,10.3,Low,75,No
180,44,Other,UK,Software Engineer,14,Medium,5.4,1,24.0,Office,4.8,3.1,8.0,Medium,48,Yes
181,22,Other,UK,Designer,0,Large,5.5,2,190.2,Office,5.3,2.2,8.4,Low,66,No
182,33,Male,USA,Data Scientist,4,Medium,8.7,7,163.1,Home,6.9,5.2,6.9,High,94,No
183,41,Male,Australia,Software Engineer,17,MNC,9.9,0,110.9,Office,8.7,0.2,6.1,High,100,No
184,26,Female,Canada,Software Engineer,0,MNC,7.0,5,140.8,Coworking,6.0,2.9,11.2,Medium,63,No
185,46,Female,China,Software Developer,17,Medium,9.8,6,96.4,Hybrid,6.6,2.9,11.0,Low,86,No
186,44,Male,USA,HR,12,MNC,4.9,1,48.4,Office,7.4,5.8,5.8,Medium,89,No
187,50,Male,India,Data Scientist,5,Small,9.2,5,58.5,Office,7.3,5.9,8.4,Medium,93,No
188,39,Other,China,Software Engineer,16,MNC,9.0,6,118.4,Office,4.2,5.6,11.2,High,79,No
189,22,Other,Germany,Designer,0,Medium,9.6,5,84.8,Home,7.3,0.6,10.9,Medium,84,No
190,27,Male,China,Software Engineer,0,Small,9.2,0,175.4,Coworking,7.9,3.4,11.6,High,100,No
191,25,Male,China,HR,1,Small,6.6,1,154.8,Coworking,8.0,2.6,12.4,Medium,90,No
192,28,Male,Japan,Data Analyst,0,MNC,6.0,0,79.6,Home,6.0,4.2,8.5,Low,77,No
193,54,Male,UK,Data Analyst,31,MNC,6.2,3,12.8,Coworking,6.9,1.0,10.8,Medium,63,No
194,30,Other,Japan,Software Engineer,2,Small,7.3,7,108.6,Home,6.4,0.2,8.1,Low,57,Yes
195,26,Female,Germany,Software Developer,1,Small,7.2,6,111.4,Coworking,7.0,4.6,12.3,Medium,85,No
196,42,Other,UK,Software Engineer,10,Medium,4.0,6,23.5,Office,8.8,3.9,8.4,Medium,75,No
197,42,Other,Canada,Marketing,12,Small,6.1,1,41.6,Coworking,7.1,3.1,11.0,Low,68,No
198,49,Other,South Korea,Designer,2,Small,7.5,1,126.0,Home,7.6,1.6,8.7,Medium,89,No
199,51,Male,Japan,Data Analyst,10,MNC,4.7,3,44.5,Office,6.6,4.3,6.0,Medium,68,No
200,41,Other,China,Software Developer,3,MNC,4.5,5,114.5,Home,4.2,3.8,13.6,Low,41,Yes
201,43,Male,Japan,Designer,21,Large,7.1,3,53.3,Home,5.1,3.7,8.7,Low,60,No
202,29,Other,China,Data Scientist,7,Large,6.1,1,58.6,Home,5.5,4.4,12.7,High,65,No
203,31,Other,UK,Marketing,8,Medium,4.6,3,38.4,Home,6.1,0.9,7.1,Medium,46,Yes
204,54,Female,Germany,Manager,20,Medium,4.6,7,69.3,Office,5.2,1.2,10.7,Low,33,Yes
205,35,Male,India,HR,12,Small,7.6,5,36.9,Hybrid,5.4,3.6,11.1,High,58,Yes
206,32,Other,India,Manager,6,Large,6.0,5,29.8,Office,7.6,3.5,7.5,High,68,No
207,54,Other,India,Software Developer,2,MNC,6.4,0,53.1,Office,5.8,0.4,9.7,Low,64,No
208,26,Male,Canada,Data Analyst,3,Small,5.4,4,61.5,Home,7.0,4.1,7.1,Low,72,No
209,24,Other,China,Software Developer,1,MNC,8.0,6,81.9,Hybrid,5.8,6.0,9.0,Low,85,No
210,29,Other,Japan,Manager,5,Small,7.4,3,192.7,Hybrid,7.2,4.5,6.5,High,100,No
211,51,Other,UK,Data Analyst,24,MNC,8.9,3,76.0,Hybrid,7.3,4.8,13.3,Low,86,No
212,44,Other,Canada,HR,18,Medium,4.9,4,150.1,Home,7.8,1.5,11.0,Medium,75,No
213,27,Male,Australia,Designer,5,Large,4.5,6,174.3,Office,7.0,3.0,6.4,High,69,No
214,35,Male,USA,HR,3,Large,5.8,1,74.9,Hybrid,5.9,2.1,7.2,Low,74,No
215,32,Male,Germany,Software Engineer,2,Small,6.4,6,189.1,Coworking,8.4,1.0,12.1,Low,72,No
216,43,Female,South Korea,Data Analyst,4,Small,6.3,3,186.8,Home,4.6,4.9,8.4,High,75,No
217,51,Male,China,Designer,13,Medium,8.8,7,50.3,Coworking,8.1,1.9,5.2,Medium,84,No
218,23,Female,Germany,Software Developer,0,MNC,6.1,3,118.9,Home,8.7,3.5,9.3,High,100,No
219,52,Other,South Korea,Designer,13,Medium,4.8,7,155.3,Office,4.9,3.0,8.6,Medium,50,Yes
220,34,Male,Australia,Designer,4,MNC,4.7,4,14.9,Office,4.7,5.8,9.9,Medium,46,Yes
221,34,Other,India,Software Engineer,3,Small,6.6,3,171.8,Hybrid,4.0,0.1,10.4,High,49,Yes
222,40,Female,UK,Marketing,18,Medium,7.4,1,97.4,Office,4.3,6.0,5.5,High,82,No
223,36,Other,India,Data Analyst,8,Large,6.6,0,37.0,Home,4.6,1.8,5.9,Medium,55,Yes
224,54,Female,Germany,Data Analyst,3,Medium,7.8,7,164.7,Coworking,7.1,1.8,10.6,High,73,No
225,28,Other,Canada,Marketing,2,Medium,6.5,5,43.6,Coworking,5.9,5.8,7.2,High,68,No
226,48,Female,USA,Designer,20,Small,4.1,6,120.6,Office,7.4,1.1,10.6,High,51,Yes
227,42,Male,UK,Manager,17,Medium,7.8,4,162.3,Office,8.8,2.9,6.0,High,100,No
228,32,Other,South Korea,Marketing,4,MNC,9.1,6,38.4,Home,4.6,5.2,7.2,High,78,No
229,50,Male,South Korea,Software Developer,19,Small,9.2,1,159.2,Home,8.5,5.7,12.1,Low,100,No
230,22,Female,Japan,Manager,1,Large,6.6,4,63.1,Coworking,8.7,1.5,12.0,High,72,No
231,32,Male,Germany,Software Engineer,6,MNC,8.0,2,95.5,Home,5.1,5.3,9.1,Medium,76,No
232,40,Male,Japan,HR,4,Small,8.4,0,94.2,Office,4.2,0.2,11.7,High,63,No
233,45,Female,Japan,Software Developer,2,Medium,4.1,4,106.6,Office,5.9,2.8,13.9,Low,52,Yes
234,36,Female,UK,Software Engineer,2,Small,8.0,3,77.4,Home,6.1,3.3,12.5,High,72,No
235,31,Other,South Korea,Data Analyst,5,MNC,4.5,7,193.9,Hybrid,5.5,4.6,10.6,High,68,No
236,36,Female,Canada,Data Scientist,1,MNC,4.1,3,126.9,Coworking,7.9,3.9,9.8,Medium,73,No
237,31,Other,USA,Data Scientist,4,Medium,4.8,2,196.2,Coworking,7.0,3.5,11.7,Low,76,No
238,32,Other,UK,Marketing,9,Medium,6.0,7,123.7,Hybrid,4.5,2.3,10.0,Medium,44,Yes
239,46,Male,UK,Data Scientist,17,Small,9.7,5,186.4,Coworking,7.4,3.0,5.1,Low,100,No
240,53,Other,Japan,HR,29,Small,9.2,0,59.1,Home,6.7,3.8,7.0,Medium,92,No
241,29,Other,Australia,Data Scientist,5,Small,8.4,6,44.3,Hybrid,4.3,1.9,11.8,Low,45,Yes
242,43,Female,Germany,Designer,12,Medium,5.0,4,140.2,Home,4.5,5.8,9.4,Low,65,No
243,45,Male,USA,Software Engineer,11,Large,8.4,2,154.1,Home,7.7,3.7,6.0,Medium,100,No
244,50,Female,India,HR,6,MNC,7.5,0,154.6,Hybrid,4.8,2.8,5.1,Medium,89,No
245,26,Male,India,Marketing,2,Small,10.0,7,46.9,Hybrid,8.4,3.9,7.8,Medium,100,No
246,48,Male,China,HR,26,Small,8.1,7,158.9,Home,6.8,0.0,11.8,Medium,69,No
247,33,Female,India,Marketing,0,Large,4.1,0,192.0,Hybrid,5.8,2.0,6.3,Low,73,No
248,27,Male,Canada,Data Analyst,2,Small,10.0,3,83.2,Home,7.2,4.7,7.0,High,100,No
249,42,Female,Japan,Marketing,7,MNC,5.1,1,127.7,Home,5.8,4.8,5.8,Low,82,No
